uid,病例数,新闻日期,省份,地级行政单位,Gaode_Lng,Gaode_Lat,province,city,citycode,adcode,level
863,1,2020/1/27,重庆,江北,107.412514,29.760384,重庆市,重庆市,重庆市,500102,区县
864,1,2020/1/27,重庆,九龙坡,106.51478,29.510124,重庆市,重庆市,重庆市,500107,区县
865,1,2020/1/27,重庆,渝北,106.513719,29.585938,重庆市,重庆市,重庆市,500112,区县
866,1,2020/1/27,重庆,巴南,106.540257,29.402408,重庆市,重庆市,重庆市,500113,区县
867,1,2020/1/27,重庆,长寿,107.075388,29.832806,重庆市,重庆市,重庆市,500115,区县
868,2,2020/1/27,重庆,江津,106.259281,29.290069,重庆市,重庆市,重庆市,500116,区县
869,1,2020/1/27,重庆,合川,30.1103627,106.0416633,重庆市,重庆市,重庆市,500117,区县
870,1,2020/1/27,重庆,綦江,106.666363,29.009818,重庆市,重庆市,重庆市,500110,区县
871,1,2020/1/27,重庆,璧山,106.215689,29.575959,重庆市,重庆市,重庆市,500120,区县
872,2,2020/1/27,重庆,潼南,105.840556,30.191013,重庆市,重庆市,重庆市,500223,区县
874,2,2020/1/27,重庆,丰都,107.730895,29.8635,重庆市,重庆市,重庆市,500230,区县
875,2,2020/1/27,重庆,垫江,107.33339,30.327717,重庆市,重庆市,重庆市,500231,区县
876,1,2020/1/27,重庆,忠县,108.039002,30.29956,重庆市,重庆市,重庆市,500233,区县
877,4,2020/1/27,重庆,云阳县,108.697324,30.930613,重庆市,重庆市,重庆市,500235,区县
878,2,2020/1/27,重庆,巫山,109.879153,31.074834,重庆市,重庆市,重庆市,500237,乡镇
879,2,2020/1/27,重庆,巫溪,31.479863,108.7766038,重庆市,重庆市,重庆市,500238,区县
880,4,2020/1/27,重庆,两江新区,106.566022,29.642726,重庆市,重庆市,重庆市,[],区县
881,1,2020/1/28,重庆,万州区,108.408661,30.807667,重庆市,重庆市,重庆市,500101,区县
882,1,2020/1/28,重庆,黔江区,108.770678,29.53361,重庆市,重庆市,重庆市,500114,区县
883,1,2020/1/28,重庆,江北区,106.574271,29.606703,重庆市,重庆市,重庆市,500105,区县
884,1,2020/1/28,重庆,九龙坡区,106.53192,29.51419,重庆市,重庆市,重庆市,500107,区县
885,1,2020/1/28,重庆,南岸区,106.644428,29.500297,重庆市,重庆市,重庆市,500108,区县
886,1,2020/1/28,重庆,渝北区,106.631187,29.718143,重庆市,重庆市,重庆市,500112,区县
887,1,2020/1/28,重庆,长寿区,107.081283,29.857996,重庆市,重庆市,重庆市,500115,区县
888,1,2020/1/28,重庆,合川区,106.27613,29.972084,重庆市,重庆市,重庆市,500117,区县
889,1,2020/1/28,重庆,綦江区,106.651362,29.028067,重庆市,重庆市,重庆市,500110,区县
890,1,2020/1/28,重庆,铜梁区,106.056404,29.844811,重庆市,重庆市,重庆市,500151,区县
891,2,2020/1/28,重庆,开州区,108.393135,31.160711,重庆市,重庆市,重庆市,500154,区县
892,1,2020/1/28,重庆,垫江县,107.33339,30.327717,重庆市,重庆市,重庆市,500231,区县
893,3,2020/1/28,重庆,忠县,108.039002,30.29956,重庆市,重庆市,重庆市,500233,区县
894,2,2020/1/28,重庆,云阳县,108.697324,30.930613,重庆市,重庆市,重庆市,500235,区县
895,3,2020/1/28,重庆,石柱县,108.112941,29.9964,重庆市,重庆市,重庆市,500240,区县
896,1,2020/1/28,重庆,两江新区,106.566022,29.642726,重庆市,重庆市,重庆市,[],区县
897,1,2020/1/22,山西,太原,112.548879,37.87059,山西省,太原市,太原市,140100,市
